id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	individualCount	sex	lifeStage	occurrenceStatus	eventID	eventDate	eventTime	habitat	samplingProtocol	waterBody	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	scientificNameID	scientificName
IO/DV/GAS/00037	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00037	IO/DV/GAS/00037	1	Hermaphrodite	Adult	present		2019-02-02	10:30:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Solar Point dive site)	28	28	10.84	72.19			Sudhanshu Dixit, CMLRE	2019-03-09	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:221080	Halgerda tessellata
IO/DV/GAS/00045	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00045	IO/DV/GAS/00045	1	Hermaphrodite	Adult	present		2019-12-24	11:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Angria Bank	32	32	16.21	72.09			Sudhanshu Dixit, CMLRE	2019-12-30	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:599550	Phyllidia alyta
IO/DV/GAS/00046	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00046	IO/DV/GAS/00046	1	Hermaphrodite	Adult	present		2019-05-10	12:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Angria Bank	35	35	16.24	72.06			Sudhanshu Dixit, CMLRE	2019-12-30	Gosliner TM, Behrens DW, Valdes A. 2008. Indo Pacific Nudibranchs and Sea Slugs. Sea Challengers, pp425	urn:lsid:marinespecies.org:taxname:599531	Taringa caudata
IO/DV/GAS/00047	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00047	IO/DV/GAS/00047	1	Hermaphrodite	Adult	present		2018-05-07	09:30:00	Benthic	SCUBA Diving	Arabian Sea	India	Near Eastern jetty (Agatti Island)	15	15	10.86	72.2			Sudhanshu Dixit, CMLRE	2020-06-28		urn:lsid:marinespecies.org:taxname:536623	Phyllidia ocellata
IO/DV/GAS/00048	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00048	IO/DV/GAS/00048	2	Hermaphrodite	Adult	present		2018-05-03	11:40:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Lagoon)	10	10	10.86	72.18			Sudhanshu Dixit, CMLRE	2020-06-28	Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa	urn:lsid:marinespecies.org:taxname:599460	Diniatys dubia
IO/DV/GAS/00049	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00049	IO/DV/GAS/00049	1	Hermaphrodite	Adult	present		2018-05-03	11:40:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Lagoon)	10	10	10.86	72.18			Sudhanshu Dixit, CMLRE	2020-06-28	Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa	urn:lsid:marinespecies.org:taxname:599460	Diniatys dubia
IO/DV/GAS/00050	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/GAS/00050	IO/DV/GAS/00050	1	Hermaphrodite	Adult	present		2018-05-03	11:40:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island (Lagoon)	10	10	10.86	72.18			Sudhanshu Dixit, CMLRE	2020-06-28	Too, C.C., Carlson, C., Hoff, P.J. and Malaquias, M.A.E., 2014. Diversity and systematics of Haminoeidae gastropods (Heterobranchia: Cephalaspidea) in the tropical West Pacific Ocean: new data on the genera Aliculastrum, Atys, Diniatys and Liloa. Zootaxa	urn:lsid:marinespecies.org:taxname:599460	Diniatys dubia
IO/DV/POY/00002	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/POY/00002	IO/DV/POY/00002	1	Hermaphrodite	Adult	present		2018-05-03	11:30:00	Benthic	SCUBA Diving	Arabian Sea	India	Eastern jetty (Agatti Island)	15	15	10.87	72.17			Sudhanshu Dixit, CMLRE	2018-07-11	Newman, L. J.; Cannon, L. R. G. (1997). Nine new species of Pseudobiceros (Platyhelminthes, Polycladida) from the Indo-Pacific. Raffles Bull Zoology., 45: 341-368.	urn:lsid:marinespecies.org:taxname:878956	Pseudobiceros hymanae
IO/DV/POY/00004	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/POY/00004	IO/DV/POY/00004	1	Hermaphrodite		present		2018-05-05	10:40:00	Benthic	SCUBA Diving	Arabian Sea	India	Eastern jetty (Agatti Island)	15	15	10.87	72.18			Sudhanshu Dixit, CMLRE	2018-07-11	Bahia, J., Padula, V., Passeri Lavrado, H. & Quiroga, S. (2014) Taxonomy of Cotylea (Platyhelminthes: Polycladida) from Cabo Frio, southeastern Brazil, with the description of a new species. Zootaxa, 3873 (5), 495â€“525. http://dx.doi.org/10.11646/zootaxa.3873.5.3	urn:lsid:marinespecies.org:taxname:483942	Pseudoceros bicolor
IO/DV/POY/00028	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/POY/00028	IO/DV/POY/00028	1	Hermaphrodite	Adult	present		2019-05-06	13:30:00	Benthic	Hand Picking	Arabian Sea	India	Solar Point, Agatti Island	32	32	10.84	72.19		Holotype	Sudhanshu Dixit, CMLRE	2020-03-10	Newman, L. J.; Cannon, L. R. G. (1994). Pseudoceros and Pseudobiceros (Platyhelminthes, Polycladida, Pseudocerotidae) form eastern Australia and Papua New Guinea. Memoirs of the Queensland Museum, 37(1):205-266.	urn:lsid:marinespecies.org:taxname:1498468	Pseudoceros bipurpureus
